category_order,category_chinese,category_slug,item_order,article_title_chinese,title_english,selected_quality,available_qualities,source_size_bytes,source_size_mib,width,height,resolution,duration_seconds,duration_minutes,bit_rate_kbps,codec,article_url,source_mp4_url,recommended_output_path,probe_error
9,马王堆导引术,09_mawangdui-daoyin,15,14马王堆导引术 第十式 鹤舞,Form 10 Crane Dances,SD,"LD,SD",55625493,53.05,1280,720,1280x720,266.88,4.45,1667.4,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/mwd/content/post_8564045.html,https://gdvideo.southcn.com/ba25d5deaec7458d99216c8bd7f3c4cc/88ab572e666f4da287ece95e110cbb2e-7601bca5a253dfb2d8be869b33f14dae-sd.mp4,video/09_mawangdui-daoyin/015_form-10-crane-dances.mp4,
9,马王堆导引术,09_mawangdui-daoyin,16,15马王堆导引术 第十一式 仰呼,Form 11 Look Up and Call,LD,LD,23534341,22.44,960,540,960x540,188.181,3.14,1000.5,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/mwd/content/post_8564039.html,https://gdvideo.southcn.com/9b51cc428677424e9f58c6a5c5f0ae69/ca3d3819203a4679beca913cf286b694-aa18f7e9e4a2a370da62eb80c6ea1089-ld.mp4,video/09_mawangdui-daoyin/016_form-11-look-up-and-call.mp4,
9,马王堆导引术,09_mawangdui-daoyin,17,16马王堆导引术 第十二式 折阴,Form 12 Fold Yin,SD,"LD,SD",55230900,52.67,1280,720,1280x720,269.973,4.5,1636.6,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/mwd/content/post_8564030.html,https://gdvideo.southcn.com/7fbd3d952e394554b7654830e40ae619/31136d2934b6427682a2348bff98dbe2-b4797c872e3fd5a81e405d153c7371ad-sd.mp4,video/09_mawangdui-daoyin/017_form-12-fold-yin.mp4,
9,马王堆导引术,09_mawangdui-daoyin,18,17马王堆导引术 收势,Closing Posture,LD,LD,27416805,26.15,960,540,960x540,217.92,3.63,1006.5,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/mwd/content/post_8564028.html,https://gdvideo.southcn.com/cabadd0108784667aacf22afad3aa8b9/44db672d6e5c4e52bd4b66ab3aa3d22d-381a8c21a0c1b5ccfccd3065daf03dbb-ld.mp4,video/09_mawangdui-daoyin/018_closing-posture.mp4,
10,易筋经（沈体版）,10_yijinjing-shenti-edition,1,1预备势  第一、二、三式  韦驮献杵第一、二、三势,Preparatory Posture and Forms 1 3 Weituo Presents the Pestle,LD,LD,56146031,53.55,960,540,960x540,455.2,7.59,986.7,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/yjj/content/post_10668766.html,https://gdvideo.southcn.com/969f5b3bd2564e7d82d09c2a14f733f7/f32daaedd2204b9ba0a670e6b6baaefe-d4b4293f292829bc73626b902ef42eeb-ld.mp4,video/10_yijinjing-shenti-edition/001_preparatory-posture-and-forms-1-3-weituo-presents-the-pestle.mp4,
10,易筋经（沈体版）,10_yijinjing-shenti-edition,2,2第四式  摘星换斗势,Form 4 Pluck Star and Change Constellation,SD,"LD,SD",52567941,50.13,1280,720,1280x720,260.52,4.34,1614.2,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/yjj/content/post_8563371.html,https://gdvideo.southcn.com/60288f70933c46bcabf88a34e3aae9d3/89db743f4b274df98ced296bfbbe99f1-e74fd5705dcc63f92599093cc5cf7ff1-sd.mp4,video/10_yijinjing-shenti-edition/002_form-4-pluck-star-and-change-constellation.mp4,
10,易筋经（沈体版）,10_yijinjing-shenti-edition,3,3第五式  倒拽九牛尾势,Form 5 Pull Nine Cows By the Tail,SD,"LD,SD",61885902,59.02,1280,720,1280x720,306.8,5.11,1613.7,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/yjj/content/post_8563310.html,https://gdvideo.southcn.com/c1f26ccba53c481e90175e17ef319324/e0a2eb0f8a71440fb501d7eb81cc160b-b0e5bcd9f131b940487c7db1830f8730-sd.mp4,video/10_yijinjing-shenti-edition/003_form-5-pull-nine-cows-by-the-tail.mp4,
10,易筋经（沈体版）,10_yijinjing-shenti-edition,4,4第六式  出爪亮翅势,Form 6 Extend Claws and Spread Wings,SD,"LD,SD",48611491,46.36,1280,720,1280x720,241.04,4.02,1613.4,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/yjj/content/post_8563297.html,https://gdvideo.southcn.com/7147800072954ece991a01d9aa2b9118/2e9bfa2ea234477a9ce5e4de36c004c7-705e99de659f05c4d731b3f5d2b4358b-sd.mp4,video/10_yijinjing-shenti-edition/004_form-6-extend-claws-and-spread-wings.mp4,
10,易筋经（沈体版）,10_yijinjing-shenti-edition,5,5第七式  九鬼拔马刀势,Form 7 Nine Ghosts Draw Sabers,LD,LD,42648023,40.67,960,540,960x540,346.56,5.78,984.5,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/yjj/content/post_8563287.html,https://gdvideo.southcn.com/993133f3850f45c18de5901431f4e059/61a04b0de10e4750a69e9ca419b75e17-05aa8a1c36af5f380a81a60be9f33af8-ld.mp4,video/10_yijinjing-shenti-edition/005_form-7-nine-ghosts-draw-sabers.mp4,
10,易筋经（沈体版）,10_yijinjing-shenti-edition,6,6第八式  三盘落地势,Form 8 Three Plates Fall to the Ground,SD,"LD,SD",50673526,48.33,1280,720,1280x720,250.36,4.17,1619.2,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/yjj/content/post_8563278.html,https://gdvideo.southcn.com/d6e5e1e31c4d46aa943a119f8e514cdf/733d29ffab414850be74d4794b5735a8-3e2c866cacc7116b5ce8bd283e6fa930-sd.mp4,video/10_yijinjing-shenti-edition/006_form-8-three-plates-fall-to-the-ground.mp4,
10,易筋经（沈体版）,10_yijinjing-shenti-edition,7,7第九式  青龙探爪势,Form 9 Green Dragon Extends Claw,SD,"LD,SD",68430986,65.26,1280,720,1280x720,339.52,5.66,1612.4,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/yjj/content/post_8563260.html,https://gdvideo.southcn.com/a387839649d647a0a095749cc23d4199/e459545fd1da4962939c3d36e161bde1-f347aaaf8d4188f81867a1842a0ff8c2-sd.mp4,video/10_yijinjing-shenti-edition/007_form-9-green-dragon-extends-claw.mp4,
10,易筋经（沈体版）,10_yijinjing-shenti-edition,8,8第十式  卧虎扑食势,Form 10 Crouching Tiger Pounces on Prey,SD,"LD,SD",73426020,70.02,1280,720,1280x720,366.12,6.1,1604.4,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/yjj/content/post_8563249.html,https://gdvideo.southcn.com/e1b27f1e75de44cc954e4559d5a2c91c/b36b9932d4a34bf4bd099027b215a89c-f2aa0c163086c29cefd42efccd649e1c-sd.mp4,video/10_yijinjing-shenti-edition/008_form-10-crouching-tiger-pounces-on-prey.mp4,
10,易筋经（沈体版）,10_yijinjing-shenti-edition,9,9第十一式  打躬势,Form 11 Bowing Posture,SD,"LD,SD",53394132,50.92,1280,720,1280x720,264.6,4.41,1614.3,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/yjj/content/post_8563245.html,https://gdvideo.southcn.com/019970571bde4e499ca7314f430abe21/b8d807e5be0c4ffd8c0ccad7f745d5de-a0c0dad3d0cba89b1cd043fbb4e3840e-sd.mp4,video/10_yijinjing-shenti-edition/009_form-11-bowing-posture.mp4,
10,易筋经（沈体版）,10_yijinjing-shenti-edition,10,10第十二式  掉尾势  收势,Form 12 Drop Tail and Closing Posture,LD,LD,40259470,38.39,960,540,960x540,326.32,5.44,987.0,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/yjj/content/post_8563225.html,https://gdvideo.southcn.com/86e16564920345b295b7fb733e35fc0b/55fb21a7331949bf8cd0a31b83bcc4d9-5f522e8ea2c4e3a813a83556bddfc1ca-ld.mp4,video/10_yijinjing-shenti-edition/010_form-12-drop-tail-and-closing-posture.mp4,
